sample_id,domain,noise_level,wer,cer,correct,error_type,ground_truth,corrected_text
51,english,clean,0.6667,0.1333,False,general_error,"打开 Safari 浏览网页。","打开 safari 浏览网页"
52,english,soft,0.6667,0.2308,False,general_error,"连接 WiFi 无线网络。","连接 wifi 无线网络"
53,news,soft,1.0000,0.0833,False,punc_only,"教育公平进一步得到保障。","教育公平进一步得到保障"
54,commands,soft,1.0000,0.1111,False,punc_only,"播放暂停停止音乐。","播放暂停停止音乐"
55,news,medium,1.0000,0.0714,False,punc_only,"科技创新取得重大突破性进展。","科技创新取得重大突破性进展"
56,commands,loud,1.0000,0.0909,False,punc_only,"把这个链接分享给张三。","把这个链接分享给张三"
57,tech,clean,1.1667,0.3929,False,general_error,"用 GitHub Actions 做 CI/CD 流程。","用 github actions 做 c i c d 流程"
58,commands,loud,1.0000,0.0714,False,punc_only,"设置一个明天早上七点的闹钟。","设置一个明天早上七点的闹钟"
59,numbers,clean,1.0000,0.0833,False,punc_only,"时间是下午三点四十五分。","时间是下午三点四十五分"
60,tech,soft,0.6667,0.0952,False,general_error,"在 Kubernetes 集群里部署服务。","在 kubernetes 集群里部署服务"
61,english,soft,0.5000,0.1739,False,general_error,"打开 Chrome 浏览器访问 GitHub。","打开 chrome 浏览器访问 github"
62,tech,soft,1.2500,0.3333,False,general_error,"macOS 系统升级后 Docker 出问题了。","micac o s 系统升级后 docker 出问题了"
63,numbers,medium,1.0000,0.0769,False,punc_only,"一共买了一百二十三个苹果。","一共买了一百二十三个苹果"
64,daily,loud,1.0000,0.1538,False,punc_only,"明天要早起，记得定好闹钟。","明天要早起记得定好闹钟"
65,daily,clean,1.0000,0.1333,False,punc_only,"今天天气真好，我们出去散步吧。","今天天气真好我们出去散步吧"
66,daily,clean,1.0000,0.0909,False,punc_only,"今天太累了想早点休息。","今天太累了想早点休息"
67,news,soft,1.0000,0.1000,False,punc_only,"体育事业取得新成就。","体育事业取得新成就"
68,names,loud,1.0000,0.0833,False,punc_only,"微信和支付宝都可以付款。","微信和支付宝都可以付款"
69,commands,soft,1.0000,0.1000,False,punc_only,"查看一下明天的天气。","查看一下明天的天气"
70,daily,soft,1.0000,0.1000,False,punc_only,"去超市买点水果回来。","去超市买点水果回来"
71,news,clean,1.0000,0.0833,False,punc_only,"对外贸易总额创历史新高。","对外贸易总额创历史新高"
72,numbers,clean,1.0000,0.0769,False,punc_only,"增长率为百分之二十三点五。","增长率为百分之二十三点五"
73,numbers,soft,1.0000,0.0769,False,punc_only,"参加人数大约是三百人左右。","参加人数大约是三百人左右"
74,numbers,clean,1.0000,0.0833,False,punc_only,"距离目的地还有二十公里。","距离目的地还有二十公里"
75,tech,loud,1.0000,0.2917,False,general_error,"这个项目用 Docker 部署到 AWS 上面。","这个项目用 docker 部署到 a w s 上面"
76,tech,loud,0.6667,0.4500,False,general_error,"用 Prometheus 监控指标数据。","用 perme 监控指标数据"
77,english,soft,1.0000,0.5000,False,general_error,"这个 API 用 GET 方法请求。","这个 v p i 用 get 方法请求"
78,news,medium,1.0000,0.0909,False,punc_only,"乡村振兴战略深入实施。","乡村振兴战略深入实施"
79,english,clean,0.7500,0.2353,False,general_error,"收到一封 Email 来自 HR。","收到一封 email 来自 h r"
80,names,clean,1.0000,0.0909,False,punc_only,"特斯拉汽车销量创新高。","特斯拉汽车销量创新高"
81,news,medium,1.0000,0.0769,False,punc_only,"经济增长保持稳中向好态势。","经济增长保持稳中向好态势"
82,names,clean,1.0000,0.0769,False,punc_only,"深圳华为总部参观需要预约。","深圳华为总部参观需要预约"
83,names,medium,1.0000,0.0769,False,punc_only,"北京大学的王教授做了报告。","北京大学的王教授做了报告"
84,english,loud,1.0000,0.7333,False,general_error,"打开 Safari 浏览网页。","打开 story story 浏览网页"
85,news,soft,1.0000,0.0769,False,punc_only,"经济增长保持稳中向好态势。","经济增长保持稳中向好态势"
86,daily,medium,1.0000,0.0909,False,punc_only,"今天太累了想早点休息。","今天太累了想早点休息"
87,commands,soft,1.0000,0.1111,False,punc_only,"给我妈妈打个电话。","给我妈妈打个电话"
88,news,loud,1.0000,0.0667,False,punc_only,"今天上午国务院召开新闻发布会。","今天上午国务院召开新闻发布会"
89,tech,loud,2.5000,0.6000,False,general_error,"MySQL 数据库性能有点慢。","my s q l 数据酷性能有点慢"
90,numbers,clean,1.0000,0.0769,False,punc_only,"参加人数大约是三百人左右。","参加人数大约是三百人左右"
91,names,clean,1.0000,0.0769,False,punc_only,"阿里巴巴和腾讯都是大公司。","阿里巴巴和腾讯都是大公司"
92,english,loud,1.4000,0.2727,False,general_error,"安装 Node.js 和 npm 包管理器。","安装 node j s 和 n p m 包管理器"
93,english,medium,1.2000,0.5000,False,general_error,"用 Python 读取 JSON 文件。","用 python读取 j s o m 文件"
94,commands,soft,1.0000,0.1000,False,punc_only,"查看一下明天的天气。","查看一下明天的天气"
95,numbers,loud,1.0000,0.0769,False,punc_only,"增长率为百分之二十三点五。","增长率为百分之二十三点五"
96,news,clean,1.0000,0.0714,False,punc_only,"科技创新取得重大突破性进展。","科技创新取得重大突破性进展"
97,english,clean,1.0000,0.5000,False,general_error,"这个 API 用 GET 方法请求。","这个 a p i 用 get 方法请求"
98,names,medium,1.0000,0.0833,False,punc_only,"特朗普和拜登进行了辩论。","特朗普和拜登进行了辩论"
99,news,soft,1.0000,0.0714,False,punc_only,"房地产市场调控政策效果显现。","房地产市场调控政策效果显现"
100,daily,soft,1.0000,0.1667,False,punc_only,"记得带伞，今天下午有雨。","记得带伞今天下午有雨"
101,daily,loud,1.0000,0.1333,False,punc_only,"今天天气真好，我们出去散步吧。","今天天气真好我们出去散步吧"
102,english,loud,0.6667,0.1333,False,general_error,"打开 Safari 浏览网页。","打开 safari 浏览网页"
103,english,loud,1.0000,0.5556,False,general_error,"这个 API 用 GET 方法请求。","这个 a p i 用 that 方法请求"
104,english,soft,0.6667,0.2308,False,general_error,"连接 WiFi 无线网络。","连接 wifi 无线网络"
105,daily,clean,1.0000,0.1176,False,punc_only,"这本书很有意思，我已经看了三遍了。","这本书很有意思我已经看了三遍了"
106,news,clean,1.0000,0.0909,False,punc_only,"社会保障体系不断完善。","社会保障体系不断完善"
107,english,clean,0.6667,0.1176,False,general_error,"登录 iCloud 账号同步数据。","登录 icloud 账号同步数据"
108,news,soft,1.0000,0.0833,False,punc_only,"教育公平进一步得到保障。","教育公平进一步得到保障"
109,numbers,clean,1.0000,0.0769,False,punc_only,"一共买了一百二十三个苹果。","一共买了一百二十三个苹果"
110,names,clean,1.0000,0.0833,False,punc_only,"特朗普和拜登进行了辩论。","特朗普和拜登进行了辩论"
111,tech,loud,1.0000,0.0556,False,punc_only,"测试覆盖率需要提升到百分之八十以上。","测试覆盖率需要提升到百分之八十以上"
112,tech,soft,1.2500,0.4286,False,general_error,"API 文档用 Swagger 自动生成。","a p i 文档用 swaer 自动生成"
113,numbers,clean,1.0000,0.0769,False,punc_only,"参加人数大约是三百人左右。","参加人数大约是三百人左右"
114,english,clean,0.6667,0.1500,False,general_error,"把文件上传到 Google Drive。","把文件上传到 google drive"
